nome,descricao,categoria,valor
Ração Royal Canin Golden Retriever - Cães Adultos - 12kg,Linha Super Premium contendo 12kg a embalagem. Ração seca.,Alimentos,360.00
Ração Úmida GranPlus Gourmet Sachê para Cães Adultos Sabor Ovelha - 100g,Linha Super Premium contendo 100g a embalagem. Ração úmida.,Alimentos,2.99
Ração Golden Fórmula Mini Bits Para Cães Adultos Pequeno Porte Sabor Carne e Arroz,Linha Premium contendo 15kg a embalagem. Ração úmida.,Alimentos,154.90
"Ração GranPlus Choice para Gatos Adultos Sabor Frango e Carne 10,1kg","Linha High Premium contendo 10,1kg a embalagem. Ração seca.",Alimentos,131.99
Ração Premier para Gatos Castrados de 6 meses a 6 anos Sabor Salmão,Linha Super Premium contendo 500g a embalagem. Ração úmida.,Alimentos,28.99
Ração Úmida Royal Canin Sachê para Gatos Adultos Castrados - 85g,Linha Premium contendo 85g a embalagem. Ração úmida.,Alimentos,9.99
Ração Zootekna para Calopsitas Mistura de Sementes,Linha Super Premium contendo 500g a embalagem. Indicada para calopsitas e agapornis.,Alimentos,8.99
Alimento para Peixe Tetra Peixe TetraMin Flakes,Linha Premium contendo 20g a embalagem. Ração úmida.,Alimentos,21.99
Alimento Pássaro Petz Mix Integrais para Calopsita,Linha Super Premium contendo 300g a embalagem.,Alimentos,28.99
Ração Alcon Guard Allium para Peixe 20g,Linha Premium contendo 20g a embalagem.,Alimentos,20.99
Coleira com Guia Toh para Cães Laguna,"Coleira com guia para filhotes, adultos e seniores.",Acessórios,52.50
Coleira K9 Spirit Cabresto para Cães Preta,"Coleira com guia para filhotes, adultos e seniores. Auxilia no adestramento.",Acessórios,129.99
Peitoral Cat Fita Califórnia para Gatos,Coleira regulável e segura para gatos,Acessórios,35.00
Peitoral e Guia MeuMiAu Style Chique para Gatos,"Peitoral e guia estampados, resistente e confortável para gatos",Acessórios,57.90
Gaiola Bragança Criadeira Branca com Bandeja para Calopsitas,Habitat confortável indicado para aves.,Gaiolas,548.99
Gaiola para Pássaros Quatiguá Capela Prata para Canários,Habitat confortável indicado para aves.,Gaiolas,106.99
Nexgard - Antipulgas e Carrapatos,Indicado para cães de 4 à 10kg. Contém 3 pílulas. Ação imunizante por 30 dias.,Medicamentos,70.30
"Antipulgas Simparic 20 mg para cães 5,1 a 10 kg - Zoetis",Indicado para cães de 5 à 10kg. Contém 1 comprimido. Ação imunizante por 30 dias.,Medicamentos,95.99
Bactericida Atlantys Mundo Animal para Peixes 15ml,Auxilia na prevenção e tratamento de infecções bacterianas. Ideal para peixes tropicais.,Medicamentos,31.99
Probiótico Pet Avert 14g,Indicado para cães e gatos. Composto por microorganismos vivos (Lactobacillus acidophilus e Enterococcus faecium).,Medicamentos,95.99
Aquário Boyu Curvo 120E 200 Litros Preto 220V,Aquário para peixes. Possui todos os equipamentos necessários para o aquário funcionar.,Aquários,3299.99
Aquário de Vidro Retangular Teruo Yamamoto para Peixes,"Aquário para peixes. Bonito, prático e resistente.",Aquários,78.99
Kit Meu Primeiro Aquário 20L Aquaterrário,"Aquário retangular para peixes. Bonito, prático e resistente.",Aquários,259.99
